Okres;Mestská èas;Rok;Relatívna (pomerná ) vlhkos vzduchu v %
Bratislava I;Staré Mesto;2013;0
Bratislava I;Staré Mesto;2012;0
Bratislava I;Staré Mesto;2011;0
Bratislava I;Staré Mesto;2010;0
Bratislava I;Staré Mesto;2009;0
Bratislava I;Staré Mesto;2008;0
Bratislava I;Staré Mesto;2007;0
Bratislava I;Staré Mesto;2006;0
Bratislava I;Staré Mesto;2005;0
Bratislava I;Staré Mesto;2004;0
Bratislava I;Staré Mesto;2003;0
Bratislava I;Staré Mesto;2002;0
Bratislava I;Staré Mesto;2001;0
Bratislava I;Staré Mesto;2000;0
Bratislava I;Staré Mesto;1999;0
Bratislava I;Staré Mesto;1998;0
Bratislava I;Staré Mesto;1997;0
Bratislava I;Staré Mesto;1996;0
Bratislava II;Podunajské Biskupice;2013;0
Bratislava II;Podunajské Biskupice;2012;0
Bratislava II;Podunajské Biskupice;2011;0
Bratislava II;Podunajské Biskupice;2010;0
Bratislava II;Podunajské Biskupice;2009;0
Bratislava II;Podunajské Biskupice;2008;0
Bratislava II;Podunajské Biskupice;2007;0
Bratislava II;Podunajské Biskupice;2006;0
Bratislava II;Podunajské Biskupice;2005;0
Bratislava II;Podunajské Biskupice;2004;0
Bratislava II;Podunajské Biskupice;2003;0
Bratislava II;Podunajské Biskupice;2002;0
Bratislava II;Podunajské Biskupice;2001;0
Bratislava II;Podunajské Biskupice;2000;0
Bratislava II;Podunajské Biskupice;1999;0
Bratislava II;Podunajské Biskupice;1998;0
Bratislava II;Podunajské Biskupice;1997;0
Bratislava II;Podunajské Biskupice;1996;0
Bratislava II;Ruinov;2013;72
Bratislava II;Ruinov;2012;66
Bratislava II;Ruinov;2011;0
Bratislava II;Ruinov;2010;0
Bratislava II;Ruinov;2009;0
Bratislava II;Ruinov;2008;0
Bratislava II;Ruinov;2007;0
Bratislava II;Ruinov;2006;0
Bratislava II;Ruinov;2005;0
Bratislava II;Ruinov;2004;0
Bratislava II;Ruinov;2003;0
Bratislava II;Ruinov;2002;0
Bratislava II;Ruinov;2001;0
Bratislava II;Ruinov;2000;0
Bratislava II;Ruinov;1999;0
Bratislava II;Ruinov;1998;0
Bratislava II;Ruinov;1997;0
Bratislava II;Ruinov;1996;0
Bratislava II;Vrakuòa;2013;0
Bratislava II;Vrakuòa;2012;0
Bratislava II;Vrakuòa;2011;0
Bratislava II;Vrakuòa;2010;0
Bratislava II;Vrakuòa;2009;0
Bratislava II;Vrakuòa;2008;0
Bratislava II;Vrakuòa;2007;0
Bratislava II;Vrakuòa;2006;0
Bratislava II;Vrakuòa;2005;0
Bratislava II;Vrakuòa;2004;0
Bratislava II;Vrakuòa;2003;0
Bratislava II;Vrakuòa;2002;0
Bratislava II;Vrakuòa;2001;0
Bratislava II;Vrakuòa;2000;0
Bratislava II;Vrakuòa;1999;0
Bratislava II;Vrakuòa;1998;0
Bratislava II;Vrakuòa;1997;0
Bratislava II;Vrakuòa;1996;0
Bratislava III;Nové Mesto;2013;73
Bratislava III;Nové Mesto;2012;0
Bratislava III;Nové Mesto;2011;0
Bratislava III;Nové Mesto;2010;0
Bratislava III;Nové Mesto;2009;0
Bratislava III;Nové Mesto;2008;0
Bratislava III;Nové Mesto;2007;0
Bratislava III;Nové Mesto;2006;0
Bratislava III;Nové Mesto;2005;0
Bratislava III;Nové Mesto;2004;0
Bratislava III;Nové Mesto;2003;0
Bratislava III;Nové Mesto;2002;0
Bratislava III;Nové Mesto;2001;0
Bratislava III;Nové Mesto;2000;0
Bratislava III;Nové Mesto;1999;0
Bratislava III;Nové Mesto;1998;0
Bratislava III;Nové Mesto;1997;0
Bratislava III;Nové Mesto;1996;0
Bratislava III;Raèa;2013;0
Bratislava III;Raèa;2012;0
Bratislava III;Raèa;2011;0
Bratislava III;Raèa;2010;0
Bratislava III;Raèa;2009;0
Bratislava III;Raèa;2008;0
Bratislava III;Raèa;2007;0
Bratislava III;Raèa;2006;0
Bratislava III;Raèa;2005;0
Bratislava III;Raèa;2004;0
Bratislava III;Raèa;2003;0
Bratislava III;Raèa;2002;0
Bratislava III;Raèa;2001;0
Bratislava III;Raèa;2000;0
Bratislava III;Raèa;1999;0
Bratislava III;Raèa;1998;0
Bratislava III;Raèa;1997;0
Bratislava III;Raèa;1996;0
Bratislava III;Vajnory;2013;0
Bratislava III;Vajnory;2012;0
Bratislava III;Vajnory;2011;0
Bratislava III;Vajnory;2010;0
Bratislava III;Vajnory;2009;0
Bratislava III;Vajnory;2008;0
Bratislava III;Vajnory;2007;0
Bratislava III;Vajnory;2006;0
Bratislava III;Vajnory;2005;0
Bratislava III;Vajnory;2004;0
Bratislava III;Vajnory;2003;0
Bratislava III;Vajnory;2002;0
Bratislava III;Vajnory;2001;0
Bratislava III;Vajnory;2000;0
Bratislava III;Vajnory;1999;0
Bratislava III;Vajnory;1998;0
Bratislava III;Vajnory;1997;0
Bratislava III;Vajnory;1996;0
Bratislava IV;Devín;2013;0
Bratislava IV;Devín;2012;0
Bratislava IV;Devín;2011;0
Bratislava IV;Devín;2010;0
Bratislava IV;Devín;2009;0
Bratislava IV;Devín;2008;0
Bratislava IV;Devín;2007;0
Bratislava IV;Devín;2006;0
Bratislava IV;Devín;2005;0
Bratislava IV;Devín;2004;0
Bratislava IV;Devín;2003;0
Bratislava IV;Devín;2002;0
Bratislava IV;Devín;2001;0
Bratislava IV;Devín;2000;0
Bratislava IV;Devín;1999;0
Bratislava IV;Devín;1998;0
Bratislava IV;Devín;1997;0
Bratislava IV;Devín;1996;0
